domain,venue,year,title,authors,themes,priority,selection_score,abstract,doi,openalex_id,landing_url,pdf_url,relative_path,stable_id,source
AI,CoRL,2025,ClutterDexGrasp: A Sim-to-Real System for General Dexterous Grasping in Cluttered Scenes,"Chen, Zeyuan; Yan, Qiyang; Chen, Yuanpei; Wu, Tianhao; Zhang, Jiyao; Ding, Zihan; Li, Jinzhou; Yang, Yaodong; Dong, Hao",Embodied/WBC; VLA; Agent RL; Robot Learning; Supporting Perception; Systems,核心,147.25,"Dexterous grasping in cluttered scenes presents significant challenges due to diverse object geometries, occlusions, and potential collisions. Existing methods primarily focus on single-object grasping or grasp-pose prediction without interaction, which are insufficient for complex, cluttered scenes. Recent vision-language-action models offer a potential solution but require extensive real-world demonstrations, making them costly and difficult to scale. To address these limitations, we revisit the sim-to-real transfer pipeline and develop key techniques that enable zero-shot deployment in reality while maintaining robust generalization. We propose ClutterDexGrasp, a two-stage teacher-student framework for closed-loop target-oriented dexterous grasping in cluttered scenes. The framework features a teacher policy trained in simulation using clutter density curriculum learning, incorporating both a novel geometry- and spatially-embedded scene representation and a comprehensive safety curriculum, enabling general, dynamic, and safe grasping behaviors. Through imitation learning, we distill the teacher’s knowledge into a student 3D diffusion policy (DP3) that operates on partial point cloud observations. To the best of our knowledge, this represents the first zero-shot sim-to-real closed-loop system for target oriented dexterous grasping in cluttered scenes, demonstrating robust performance across diverse objects and layouts.",,,https://proceedings.mlr.press/v305/chen25b.html,https://raw.githubusercontent.com/mlresearch/v305/main/assets/chen25b/chen25b.pdf,papers/AI/CoRL/2025/57/0042_ClutterDexGrasp_A_Sim_to_Real_System_for_General_Dexterous_Grasping_in_Cluttered_Scenes_57df04236d.pdf,pmlr-v305-chen25b,
AI,CoRL,2025,FLARE: Robot Learning with Implicit World Modeling,"Zheng, Ruijie; Wang, Jing; Reed, Scott; Bjorck, Johan; Fang, Yu; Hu, Fengyuan; Jang, Joel; Kundalia, Kaushil; Lin, Zongyu; Magne, Lo\""{i}c; Narayan, Avnish; Tan, You Liang; Wang, Guanzhi; Wang, Qi; Xiang, Jiannan; Xu, Yinzhen; Ye, Seonghyeon; Kautz, Jan; Huang, Furong; Zhu, Yuke; Fan, Linxi",Embodied/WBC; VLA; World Model; Agent RL; Robot Learning; Supporting Perception,核心,147.25,"We introduce **F**uture **LA**tent **R**presentation Alignm**E**nt (**FLARE**), a novel framework that integrates predictive world modeling into robot policy learning. By aligning features from a diffusion transformer with latent embeddings of future observations, **FLARE** enables a diffusion transformer policy to anticipate latent representations of future observations, allowing it to reason about long-term consequences while generating actions. Remarkably lightweight, **FLARE** requires only minimal architectural modifications—adding a few tokens to standard vision-language-action (VLA) models—yet delivers substantial performance gains. Across two challenging multitask simulation imitation learning benchmarks spanning single-arm and humanoid tabletop manipulation, **FLARE** achieves state-of-the-art performance, outperforming prior policy learning baselines by up to 26%. Moreover, **FLARE** unlocks the ability to co-train with human egocentric video demonstrations lacking action labels, significantly boosting policy generalization to a novel object with unseen geometry with as few as 1 robot demonstration. Our results establish **FLARE** as a general and scalable approach for combining implicit world modeling with high-frequency robotic control.",,,https://proceedings.mlr.press/v305/zheng25a.html,https://raw.githubusercontent.com/mlresearch/v305/main/assets/zheng25a/zheng25a.pdf,papers/AI/CoRL/2025/22/0187_FLARE_Robot_Learning_with_Implicit_World_Modeling_22aa2c59fb.pdf,pmlr-v305-zheng25a,
AI,CoRL,2025,AgentWorld: An Interactive Simulation Platform for Scene Construction and Mobile Robotic Manipulation,"Zhang, Yizheng; Yu, Zhenjun; Lai, JiaXin; Lu, Cewu; Han, Lei",Embodied/WBC; Teleoperation; VLA; Agent RL; Robot Learning; Supporting Perception,核心,138.25,"We introduce AgentWorld, an interactive simulation platform for developing household mobile manipulation capabilities. Our platform combines automated scene construction that encompasses layout generation, semantic asset placement, visual material configuration, and physics simulation, with a dual-mode teleoperation system supporting both wheeled bases and humanoid locomotion policies for data collection. The resulting AgentWorld Dataset captures diverse tasks ranging from primitive actions (pick-and-place, push-pull, etc.) to multistage activities (serve drinks, heat up food, etc.) across living rooms, bedrooms, and kitchens. Through extensive benchmarking of imitation learning methods including behavior cloning, action chunking transformers, diffusion policies, and vision-language-action models, we demonstrate the dataset’s effectiveness for sim-to-real transfer. The integrated system provides a comprehensive solution for scalable robotic skill acquisition in complex home environments, bridging the gap between simulation-based training and real-world deployment.",,,https://proceedings.mlr.press/v305/zhang25f.html,https://raw.githubusercontent.com/mlresearch/v305/main/assets/zhang25f/zhang25f.pdf,papers/AI/CoRL/2025/b3/0132_AgentWorld_An_Interactive_Simulation_Platform_for_Scene_Construction_and_Mobile_Robotic_Ma_b3a792919a.pdf,pmlr-v305-zhang25f,
AI,CoRL,2025,"ParticleFormer: A 3D Point Cloud World Model for Multi-Object, Multi-Material Robotic Manipulation","Huang, Suning; Chen, Qianzhong; Zhang, Xiaohan; Sun, Jiankai; Schwager, Mac",Embodied/WBC; World Model; Robot Learning; Supporting Perception; Systems,核心,138.25,"3D world models (i.e., learning-based 3D dynamics models) offer a promising approach to generalizable robotic manipulation by capturing the underlying physics of environment evolution conditioned on robot actions. However, existing 3D world models are primarily limited to single-material dynamics using a particle-based Graph Neural Network model, and often require time-consuming 3D scene reconstruction to obtain 3D particle tracks for training. In this work, we present ParticleFormer, a Transformer-based point cloud world model trained with a hybrid point cloud reconstruction loss, supervising both global and local dynamics features in multi-material, multi-object robot interactions. ParticleFormer captures fine-grained multi-object interactions between rigid, deformable, and flexible materials, trained directly from real-world robot perception data without an elaborate scene reconstruction. We demonstrate the model’s effectiveness both in 3D scene forecasting tasks, and in downstream manipulation tasks using a Model Predictive Control (MPC) policy. In addition, we extend existing dynamics learning benchmarks to include diverse multi-material, multi-object interaction scenarios. We validate our method on six simulation and three real-world experiments, where it consistently outperforms leading baselines by achieving superior dynamics prediction accuracy and less rollout error in downstream visuomotor tasks. Experimental videos are available at https://particleformer.github.io/.",,,https://proceedings.mlr.press/v305/huang25c.html,https://raw.githubusercontent.com/mlresearch/v305/main/assets/huang25c/huang25c.pdf,papers/AI/CoRL/2025/58/0236_ParticleFormer_A_3D_Point_Cloud_World_Model_for_Multi_Object_Multi_Material_Robotic_Manipu_589f494c0a.pdf,pmlr-v305-huang25c,
AI,ICCV,2025,FedVLA: Federated Vision-Language-Action Learning with Dual Gating Mixture-of-Experts for Robotic Manipulation,,Embodied/WBC; VLA; AI Infra; Supporting Perception,核心,119.25,,,,https://openaccess.thecvf.com/content/ICCV2025/html/Miao_FedVLA_Federated_Vision-Language-Action_Learning_with_Dual_Gating_Mixture-of-Experts_for_Robotic_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Miao_FedVLA_Federated_Vision-Language-Action_Learning_with_Dual_Gating_Mixture-of-Experts_for_Robotic_ICCV_2025_paper.pdf,papers/AI/ICCV/2025/87/12319_FedVLA_Federated_Vision_Language_Action_Learning_with_Dual_Gating_Mixture_of_Experts_for_R_873a0db936.pdf,/content/ICCV2025/html/Miao_FedVLA_Federated_Vision-Language-Action_Learning_with_Dual_Gating_Mixture-of-Experts_for_Robotic_ICCV_2025_paper.html,
AI,ICML,2025,Latent Diffusion Planning for Imitation Learning,"Xie, Amber; Rybkin, Oleh; Sadigh, Dorsa; Finn, Chelsea",Embodied/WBC; World Model; Agent RL; Robot Learning; Supporting Perception,核心,116.25,"Recent progress in imitation learning has been enabled by policy architectures that scale to complex visuomotor tasks, multimodal distributions, and large datasets. However, these methods often rely on learning from large amount of expert demonstrations. To address these shortcomings, we propose Latent Diffusion Planning (LDP), a modular approach consisting of a planner which can leverage action-free demonstrations, and an inverse dynamics model which can leverage suboptimal data, that both operate over a learned latent space. First, we learn a compact latent space through a variational autoencoder, enabling effective forecasting of future states in image-based domains. Then, we train a planner and an inverse dynamics model with diffusion objectives. By separating planning from action prediction, LDP can benefit from the denser supervision signals of suboptimal and action-free data. On simulated visual robotic manipulation tasks, LDP outperforms state-of-the-art imitation learning approaches, as they cannot leverage such additional data.",,,https://proceedings.mlr.press/v267/xie25h.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/xie25h/xie25h.pdf,papers/AI/ICML/2025/6a/3005_Latent_Diffusion_Planning_for_Imitation_Learning_6aaf47ea45.pdf,pmlr-v267-xie25h,
AI,ICML,2025,Video Prediction Policy: A Generalist Robot Policy with Predictive Visual Representations,"Hu, Yucheng; Guo, Yanjiang; Wang, Pengchao; Chen, Xiaoyu; Wang, Yen-Jen; Zhang, Jianke; Sreenath, Koushil; Lu, Chaochao; Chen, Jianyu",Embodied/WBC; VLA; World Model; Robot Learning,核心,116.25,"Visual representations play a crucial role in developing generalist robotic policies. Previous vision encoders, typically pre-trained with single-image reconstruction or two-image contrastive learning, tend to capture static information, often neglecting the dynamic aspects vital for embodied tasks. Recently, video diffusion models (VDMs) demonstrate the ability to predict future frames and showcase a strong understanding of physical world. We hypothesize that VDMs inherently produce visual representations that encompass both current static information and predicted future dynamics, thereby providing valuable guidance for robot action learning. Based on this hypothesis, we propose the Video Prediction Policy (VPP), which learns implicit inverse dynamics model conditioned on predicted future representations inside VDMs. To predict more precise future, we fine-tune pre-trained video foundation model on robot datasets along with internet human manipulation data. In experiments, VPP achieves a 18.6% relative improvement on the Calvin ABC-D generalization benchmark compared to the previous state-of-the-art, and demonstrates a 31.6% increase in success rates for complex real-world dexterous manipulation tasks. For your convenience, videos can be found at https://video-prediction-policy.github.io/",,,https://proceedings.mlr.press/v267/hu25g.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hu25g/hu25g.pdf,papers/AI/ICML/2025/0b/1216_Video_Prediction_Policy_A_Generalist_Robot_Policy_with_Predictive_Visual_Representations_0b16744bbc.pdf,pmlr-v267-hu25g,
AI,CoRL,2025,ARCH: Hierarchical Hybrid Learning for Long-Horizon Contact-Rich Robotic Assembly,"Sun, Jiankai; Curtis, Aidan; You, Yang; Xu, Yan; Koehle, Michael; Chen, Qianzhong; Huang, Suning; Guibas, Leonidas; Chitta, Sachin; Schwager, Mac; Li, Hui",Embodied/WBC; Teleoperation; World Model; Agent RL; Robot Learning,核心,111.25,"Generalizable long-horizon robotic assembly requires reasoning at multiple levels of abstraction. While end-to-end imitation learning (IL) is a promising approach, it typically requires large amounts of expert demonstration data and often struggles to achieve the high precision demanded by assembly tasks. Reinforcement learning (RL) approaches, on the other hand, have shown some success in high-precision assembly, but suffer from sample inefficiency, which limits their effectiveness in long-horizon tasks. To address these challenges, we propose a hierarchical modular approach, named Adaptive Robotic Compositional Hierarchy (ARCH), which enables long-horizon, high-precision robotic assembly in contact-rich settings. ARCH employs a hierarchical planning framework, including a low-level primitive library of parameterized skills and a high-level policy. The low-level primitive library includes essential skills for assembly tasks, such as grasping and inserting. These primitives consist of both RL and model-based controllers. The high-level policy, learned via IL from a handful of demonstrations, without the need for teleoperation, selects the appropriate primitive skills and instantiates them with input parameters. We extensively evaluate our approach in simulation and on a real robotic manipulation platform. We show that ARCH generalizes well to unseen objects and outperforms baseline methods in terms of success rate and data efficiency.",,,https://proceedings.mlr.press/v305/sun25b.html,https://raw.githubusercontent.com/mlresearch/v305/main/assets/sun25b/sun25b.pdf,papers/AI/CoRL/2025/f1/0125_ARCH_Hierarchical_Hybrid_Learning_for_Long_Horizon_Contact_Rich_Robotic_Assembly_f1709247df.pdf,pmlr-v305-sun25b,
AI,CoRL,2025,AutoEval: Autonomous Evaluation of Generalist Robot Manipulation Policies in the Real World,"Zhou, Zhiyuan; Atreya, Pranav; Tan, You Liang; Pertsch, Karl; Levine, Sergey",Embodied/WBC; VLA; Robot Learning; Systems,核心,111.25,"Scalable and reproducible policy evaluation has been a long-standing challenge in robot learning: evaluations are critical to assess progress and build better policies, but evaluation in the real world, especially at a scale that would provide statistically reliable results, is costly in terms of human time and hard to obtain. Evaluation of increasingly generalist robot policies requires an increasingly diverse repertoire of evaluation environments, making the evaluation bottleneck even more pronounced. To make real-world evaluation of robotic policies more practical, we propose AutoEval, a system to autonomously evaluate generalist robot policies around the clock with minimal human intervention. Users interact with AutoEval by submitting evaluation jobs to the AutoEval queue, much like how software jobs are submitted with a cluster scheduling system, and AutoEval will schedule the policies for evaluation within a framework supplying automatic success detection and automatic scene resets. We show that AutoEval can nearly fully eliminate human involvement in the evaluation process, permitting around the clock evaluations, and the evaluation results correspond closely to ground truth evaluations conducted by hand. To facilitate the evaluation of generalist policies in the robotics community, we provide public access to multiple AutoEval scenes in the popular BridgeData robot setup with WidowX robot arms. In the future, we hope that AutoEval scenes can be set up across institutions to form a diverse and distributed evaluation network.",,,https://proceedings.mlr.press/v305/zhou25a.html,https://raw.githubusercontent.com/mlresearch/v305/main/assets/zhou25a/zhou25a.pdf,papers/AI/CoRL/2025/5f/0095_AutoEval_Autonomous_Evaluation_of_Generalist_Robot_Manipulation_Policies_in_the_Real_World_5fe575045e.pdf,pmlr-v305-zhou25a,
AI,CoRL,2025,ControlVLA: Few-shot Object-centric Adaptation for Pre-trained Vision-Language-Action Models,"Li, Puhao; Wu, Yingying; Xi, Ziheng; Li, Wanlin; Huang, Yuzhe; Zhang, Zhiyuan; Chen, Yinghan; Wang, Jianan; Zhu, Song-Chun; Liu, Tengyu; Huang, Siyuan",Embodied/WBC; VLA; Robot Learning; Supporting Perception,核心,111.25,"Learning real-world robotic manipulation is challenging, particularly when limited demonstrations are available. Existing methods for few-shot manipulation often rely on simulation-augmented data or pre-built modules like grasping and pose estimation, which struggle with sim-to-real gaps and lack extensibility. While large-scale imitation pre-training shows promise, adapting these general-purpose policies to specific tasks in data-scarce settings remains unexplored. To achieve this, we propose ControlVLA, a novel framework that bridges pre-trained VLA models with object-centric representations via a ControlNet-style architecture for efficient fine-tuning. Specifically, to introduce object-centric conditions without overwriting prior knowledge, ControlVLA zero-initializes a set of projection layers, allowing them to gradually adapt the pre-trained manipulation policies. In real-world experiments across 6 diverse tasks, including pouring cubes and folding clothes, our method achieves a 76.7% success rate while requiring only 10-20 demonstrations — a significant improvement over traditional approaches that require more than 100 demonstrations to achieve comparable success. Additional experiments highlight ControlVLA’s extensibility to long-horizon tasks and robustness to unseen objects and backgrounds.",,,https://proceedings.mlr.press/v305/li25c.html,https://raw.githubusercontent.com/mlresearch/v305/main/assets/li25c/li25c.pdf,papers/AI/CoRL/2025/13/0090_ControlVLA_Few_shot_Object_centric_Adaptation_for_Pre_trained_Vision_Language_Action_Model_13ca525f3b.pdf,pmlr-v305-li25c,
